Year,KSA,UAE,KUWAIT,Oman,Qtatar,Bahrain,Lebanon,Jordan,Libya,Sudan,Malaysia,Singapore,S. Korea,UK,Italy,Japan,Egypt,Brunei,Mauritius,Iraq,Others,Misc Clearance,Total Employment,Million USD,Crore TK
1976,217,1989,643,113,"1,221",335,,,173,,,,,,,,,,,,1396,,6087,23.71,35.85
1977,1379,5819,1315,1492,"2,262",870,,,718,,,,,,,,,,,,1870,,15725,82.79,125.16
1978,3212,7512,2243,2877,"1,303",762,,,2394,,23,,,,,,,,,,2483,,22809,106.90,165.59
1979,6476,5069,2298,3777,"1,383",827,,,1969,,,110,,,,,,,,,2586,,24495,172.06,266.95
1980,8695,4847,3687,4745,"1,455",1351,,,2976,,3,385,,,,,,,,,1929,,30073,301.33,492.95
1981,13384,6418,5464,7352,"2,268",1392,,,4162,,,1083,,,,,,,,,14264,,55787,304.88,620.74
1982,16294,6863,7244,8248,"6,252",2037,,,2071,,,331,,,,,,,,,13422,,62762,490.77,1176.84
1983,12928,6615,10283,11110,"7,556",2473,,,2209,,23,178,,,,,,,,,5845,,59220,627.51,1568.76
1984,20399,5185,5627,10448,"2,726",2300,,,3386,,,718,,,,,,,,,5925,,56714,500.00,1265.49
1985,37133,8336,7384,9218,"4,751",2965,,,1514,,,792,,,,,,,,,5601,,77694,500.00,1419.61
1986,27235,8790,10286,6255,"4,847",2597,,,3111,,530,25,,,,,,,,,4982,,68658,576.20,1752.85
1987,39292,9953,9559,440,"5,889",2055,,,2271,,,,,,,,,,,,4558,,74017,747.60,2313.94
1988,27622,13437,6524,2219,"7,390",3268,,,2759,,2,,,,,,,,,,4900,,68121,763.90,2423.59
1989,39949,15184,12404,15429,"8,462",4830,,,1609,,419,229,,,,,,,,,3227,,101724,757.84,2446.00
1990,57486,8307,5957,13980,"7,672",4563,,,471,,1385,776,,,,,,,,,3217,,103814,781.54,2691.63
1991,75656,8583,28754,23087,"3,772",3480,25,,1124,,1628,642,,,,,,,,,585,,147156,769.30,2818.65
1992,93132,12975,34377,25825,"3,251",5804,37,,1617,,10537,313,,,,,,228,12,,16,,188124,901.97,3513.26
1993,106387,15810,26407,15866,"2,441",5396,37,,1800,,67938,1739,,,,,,328,12,,347,,244508,1009.09,3986.97
1994,91386,15051,14912,6470,624,4233,382,,1864,,47826,391,1558,,,,,1335,26,,269,,186326,1153.54,4629.63
1995,84009,14686,17492,20949,71,3004,406,,1106,,35174,3762,3315,,,,,2659,229,,681,,187543,1201.52,4838.31
1996,72734,23812,21042,8691,112,3759,490,,1966,,66631,5304,2759,,,,,3062,196,,1156,,211714,1355.34,5685.30
1997,106534,54719,21126,5985,1873,5010,907,,1934,,2844,27401,889,,,,,303,238,,1314,,231077,1525.03,6709.15
1998,158715,38796,25444,4779,6806,7014,1389,,1254,8,551,21728,578,,,,,169,16,,420,,267667,1599.24,7513.23
1999,185739,32344,22400,4045,5611,4639,219,,1744,16,,9696,1501,,,7,,1,139,,181,,168182,1806.63,8882.74
2000,144618,34034,594,5258,1433,4637,,,1010,54,17237,11095,990,,,22,9,1420,271,,4,,222686,1954.54,10199.12
2001,137248,16252,5341,4561,223,4371,,95,450,153,4921,9615,1561,,,19,3,2958,272,,1017,,189060,2071.03,11590.79
2002,163269,25462,15769,3854,552,5421,2,1829,1574,136,85,6856,28,,19,37,17,154,59,,133,,225256,2847.79,16484.53
2003,162131,37346,26722,4029,94,7482,3,2128,2855,784,28,5304,3771,166,28,12,26,980,,,301,,254190,3177.63,18484.12
2004,139031,47012,41108,4435,1268,9194,,6022,606,923,224,6948,215,2055,550,47,33,1802,44,,2859,8582,272958,3565.31,21286.52
2005,80425,61978,47029,4827,2114,10716,14,9101,972,885,2911,9651,223,2793,950,79,207,191,1381,,4015,12240,252702,4249.87,27304.34
2006,109513,130204,35775,8082,7691,16355,821,2822,104,2380,20469,20139,992,1625,1428,174,639,496,2090,,8995,10722,381516,5484.08,38366.56
2007,204112,226392,4212,17478,15130,16433,3541,494,1480,1726,273201,38324,39,972,10950,164,1068,1186,3658,,1827,10222,832609,6562.71,45337.35
2008,132124,419355,319,52896,24548,13182,8444,682,5067,170,131762,56581,1521,952,6928,133,1891,1054,3071,,2461,10914,875055,8979.00,61587.83
2009,14666,258348,10,41704,11672,28426,13941,1691,22742,514,12402,39581,1474,1253,5339,39,3018,2699,1826,412,5036,8485,475278,10717.73,73981.46
2010,7069,203308,48,42641,12085,21824,17268,2235,12132,14,919,39053,2699,173,6726,17,2730,2191,3705,2288,4017,7560,390702,11004.73,76639.97
