Vehicle,Gasoline,Diesel,CNG,LPG,Duel Fuel,Electric Motor Drive,Diesel/CNG,Kerosine,Total
AMBULANCE,6517,887,56,2,13,,,1,7476
AUTORICKSHAW,53201,6527,212356,5526,20351,2,17,16,297996
AUTOTEMPO,9068,3336,922,326,1348,,,,15000
BUS,5140,39503,5121,5,66,,4,,49839
CAR,372219,2040,7400,46,1348,6,1,7,383067
CARGOVAN,135,9340,10,,0,,,,9485
COVEREDVAN,1011,39910,328,1,37,,,,41287
DELIVERYVAN,13927,15988,446,7,233,,4,1,30606
HUMANHAULER,3617,11372,541,,877,,21,1,16429
JEEP,63017,8439,1960,11,55,3,2,2,73489
MICROBUS,96268,7311,1536,10,71,,20,,105216
MINIBUS,2623,22570,1520,2,10,,9,,26734
MOTOCYCLE,3494088,2329,1976,166,446,27,2,4,3499038
OTHERS,11289,43566,203,4,7042,,1,2,62107
PICKUP,14577,127141,1297,5,142,,65,36,143263
SPECIALPURPOSEVEHICLE,2223,9541,9,,13,2,10,1,11799
TANKER,132,6084,8,,0,,1,1,6226
TAXICAB,18264,137,2572,167,143,,,,21283
TRACTOR,905,43309,46,,10,,,,44270
TRUCK,5735,140452,233,,41,,1,3,146465
TOTAL,4173956,539782,238540,6278,32246,40,158,75,4991075
